contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
97,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,12/04/2019,01:35:09 p.m.,COMUNA 3,BALVANERA,COMBATE DE LOS POZOS,47,App,femenino,Cerrado,16/04/2019
98,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,15/04/2019,08:20:50 a.m.,COMUNA 6,CABALLITO,PLANES,1173,147,femenino,Cerrado,17/04/2019
99,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,15/04/2019,12:04:58 p.m.,COMUNA 2,RECOLETA,LAS HERAS GENERAL AV.,1880,App,masculino,Cerrado,18/04/2019
100,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,15/04/2019,01:38:34 p.m.,COMUNA 6,CABALLITO,VIEL,286,147,masculino,Cerrado,18/04/2019
101,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,17/04/2019,09:35:50 a.m.,COMUNA 12,VILLA URQUIZA,QUESADA,,Web,masculino,Cerrado,18/04/2019
102,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,18/04/2019,08:33:41 a.m.,COMUNA 15,CHACARITA,GUEVARA,243,App,masculino,Cerrado,22/04/2019
103,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,18/04/2019,09:41:40 p.m.,COMUNA 6,CABALLITO,EL MAESTRO,65,App,masculino,Cerrado,23/04/2019
104,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,20/04/2019,11:37:57 a.m.,COMUNA 6,CABALLITO,GUAYAQUIL,195,App,masculino,Cerrado,23/04/2019
105,201904,CALLES Y VEREDAS - REPARACION DE BACHES,SOLICITUD,22/04/2019,05:24:22 p.m.,COMUNA 13,COLEGIALES,OLLEROS,2529,App,masculino,Cerrado,11/06/2019
106,201904,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,23/04/2019,11:17:52 a.m.,COMUNA 15,PARQUE CHAS,VIRREYES,3045,147,masculino,Cerrado,24/04/2019
107,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,24/04/2019,09:06:00 a.m.,COMUNA 15,AGRONOMIA,NAZCA,3759,App,masculino,Cerrado,28/04/2019
108,201904,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,24/04/2019,11:33:38 a.m.,COMUNA 11,VILLA DEVOTO,MELINCUE,5109,Web,masculino,Cerrado,03/05/2019
109,201904,ORDENAMIENTO DEL ESPACIO PUBLICO - OCUPACION INDEBIDA,DENUNCIA,24/04/2019,01:06:42 p.m.,COMUNA 4,PARQUE PATRICIOS,24 DE NOVIEMBRE,2257,App,masculino,Cerrado,09/05/2019
110,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,25/04/2019,08:59:39 a.m.,COMUNA 12,VILLA PUEYRREDON,GRIVEO,2564,Web,masculino,Cerrado,27/04/2019
111,201904,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,25/04/2019,06:21:04 p.m.,COMUNA 13,NUÑEZ,CAMPOS SALLES,2195,App,masculino,Cerrado,29/04/2019
112,201904,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,26/04/2019,11:58:06 a.m.,COMUNA 5,BOEDO,COCHABAMBA,3824,147,femenino,Cerrado,29/04/2019
113,201904,TRANSITO - DENUNCIA VIAL,DENUNCIA,29/04/2019,10:06:42 a.m.,COMUNA 13,COLEGIALES,CIUDAD DE LA PAZ,1180,App,masculino,Cerrado,01/05/2019
114,201904,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,29/04/2019,12:15:44 p.m.,COMUNA 13,BELGRANO,AGOTE PEDRO,1400,147,femenino,Cerrado,09/05/2019
115,201904,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,30/04/2019,12:02:12 p.m.,COMUNA 3,BALVANERA,CORRIENTES AV.,2835,147,femenino,Cerrado,07/05/2019
116,201904,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,30/04/2019,01:37:51 p.m.,COMUNA 12,SAAVEDRA,ESTOMBA,3861,147,femenino,Cerrado,14/05/2019
117,201904,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,30/04/2019,05:03:08 p.m.,COMUNA 2,RECOLETA,AYACUCHO,1447,App,masculino,Cerrado,06/05/2019
118,201905,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,03/05/2019,10:26:00 a.m.,COMUNA 1,RETIRO,SANTA FE AV.,1114,147,femenino,Cerrado,07/05/2019
119,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,06/05/2019,11:50:08 a.m.,COMUNA 10,MONTE CASTRO,CORTINA,1456,147,masculino,Cerrado,09/05/2019
120,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,07/05/2019,03:56:50 p.m.,COMUNA 9,PARQUE AVELLANEDA,PERGAMINO,556,Web,masculino,Cerrado,10/05/2019
121,201905,PLUVIALES - ALCANTARILLAS / SUMIDEROS,SOLICITUD,09/05/2019,07:02:53 p.m.,COMUNA 13,BELGRANO,CASTAÑEDA,1887,147,femenino,Cerrado,16/05/2019
122,201905,MEDIOS DE TRANSPORTE - SUBTES,SOLICITUD,10/05/2019,03:35:40 p.m.,COMUNA 1,SAN NICOLAS,CORRIENTES AV.,,147,femenino,Cerrado,22/07/2019
123,201905,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,10/05/2019,05:59:47 p.m.,COMUNA 11,VILLA DEVOTO,ALTA GRACIA,3170,App,masculino,Cerrado,14/05/2019
